学校代码,学校名称,是否自划线院校,所在省市,学院名称,专业代码,专业名称,研究方向代码,研究方向名称,学习方式,考试方式,招生人数,政治科目,外语科目,数学科目,专业课科目,其他
10004,北京交通大学,0,北京,在职专业学位中心,085410,人工智能,01,电信学院导师组,2,统考,25,思想政治理论101,英语（二）204,数学（二）302,通信原理891,空
10004,北京交通大学,0,北京,在职专业学位中心,085410,人工智能,02,计算机学院导师组,2,统考,10,思想政治理论101,英语（二）204,数学（二）302,计算机学科专业基础408,空
10004,北京交通大学,0,北京,在职专业学位中心,085410,人工智能,03,智能学院导师组,2,统考,17,思想政治理论101,英语（二）204,数学（二）302,数据结构898,空
10004,北京交通大学,0,北京,在职专业学位中心,085410,人工智能,03,智能学院导师组,2,单考,3,思想政治理论（单独考试）111,英语（单独考试）289,数学（单独考试）789,数据结构898,空
10004,北京交通大学,0,北京,在职专业学位中心,085411,大数据技术与工程,01,计算机学院导师组,2,统考,0,思想政治理论101,英语（二）204,数学（二）302,计算机学科专业基础408,空
10004,北京交通大学,0,北京,在职专业学位中心,085412,网络与信息安全,00,不区分研究方向,2,统考,20,思想政治理论101,英语（二）204,数学（二）302,计算机学科专业基础408,空
10004,北京交通大学,0,北京,在职专业学位中心,085412,网络与信息安全,00,不区分研究方向,2,单考,20,思想政治理论101,英语（二）204,数学（二）302,计算机学科专业基础408,空
10004,北京交通大学,0,北京,在职专业学位中心,085404,计算机技术,01,计算机学院导师组,2,统考,0,思想政治理论101,英语（二）204,数学（二）302,计算机学科专业基础408,空
10004,北京交通大学,0,北京,在职专业学位中心,085405,软件工程,01,计算机学院导师组,2,统考,40,思想政治理论101,英语（二）204,数学（二）302,计算机学科专业基础408,空
10004,北京交通大学,0,北京,在职专业学位中心,085405,软件工程,02,软件学院导师组,2,统考,57,思想政治理论101,英语（二）204,数学（二）302,软件工程专业基础861,空
10004,北京交通大学,0,北京,在职专业学位中心,085405,软件工程,03,网安学院导师组,2,统考,20,思想政治理论101,英语（二）204,数学（二）302,计算机学科专业基础408,空
10004,北京交通大学,0,北京,在职专业学位中心,085405,软件工程,02,软件学院导师组,2,单考,3,思想政治理论（单独考试）111,英语（单独考试）289,数学（单独考试）789,软件工程专业基础861,空
10004,北京交通大学,0,北京,在职专业学位中心,085402,通信工程（含宽带网络、移动通信等）,00,不区分研究方向,2,统考,20,思想政治理论101,英语（二）204,数学（二）302,通信原理891,空
10054,华北电力大学,0,北京,控制与计算机工程学院,085410,人工智能,01,控制工程与系统,2,统考,21,思想政治理论101,英语（二）204,数学（二）302,自动控制原理基础842,空
10054,华北电力大学,0,北京,控制与计算机工程学院,085410,人工智能,02,智能软件工程,2,统考,22,思想政治理论101,英语（二）204,数学（二）302,计算机学科专业基础408,空
10054,华北电力大学,0,北京,控制与计算机工程学院,085410,人工智能,03,计算机与智能技术,2,统考,22,思想政治理论101,英语（二）204,数学（二）302,计算机学科专业基础408,空
10054,华北电力大学,0,北京,电气与电子工程学院,085402,通信工程（含宽带网络、移动通信等）,01,电力系统通信及信息处理,2,统考,0,思想政治理论101,英语（二）204,数学（二）302,信号与系统813,空
10054,华北电力大学,0,北京,电气与电子工程学院,085402,通信工程（含宽带网络、移动通信等）,02,现代通信技术及应用,2,统考,0,思想政治理论101,英语（二）204,数学（二）302,信号与系统813,空
10054,华北电力大学,0,北京,电气与电子工程学院,085402,通信工程（含宽带网络、移动通信等）,03,能源互联网信息通信技术,2,统考,0,思想政治理论101,英语（二）204,数学（二）302,信号与系统813,空
10054,华北电力大学,0,北京,电气与电子工程学院,085402,通信工程（含宽带网络、移动通信等）,04,智能信息处理及信息安全,2,统考,0,思想政治理论101,英语（二）204,数学（二）302,信号与系统813,空
10054,华北电力大学,0,北京,电气与电子工程学院,085402,通信工程（含宽带网络、移动通信等）,05,现代电子科学技术及应用,2,统考,0,思想政治理论101,英语（二）204,数学（二）302,信号与系统813,空
10054,华北电力大学,0,北京,电气与电子工程学院,085402,通信工程（含宽带网络、移动通信等）,06,光通信与光传感技术,2,统考,0,思想政治理论101,英语（二）204,数学（二）302,信号与系统813,空
10054,华北电力大学,0,北京,电气与电子工程学院,085402,通信工程（含宽带网络、移动通信等）,07,物联网与现代传感技术,2,统考,0,思想政治理论101,英语（二）204,数学（二）302,信号与系统813,空
10054,华北电力大学,0,北京,电气与电子工程学院,085402,通信工程（含宽带网络、移动通信等）,01,电力系统通信及信息处理,2,单考,0,思想政治理论（单独考试）111,英语（单独考试）241,数学（单独考试）611,信号与系统（单独考试）815,空
10054,华北电力大学,0,北京,电气与电子工程学院,085402,通信工程（含宽带网络、移动通信等）,02,现代通信技术及应用,2,单考,0,思想政治理论（单独考试）111,英语（单独考试）241,数学（单独考试）611,信号与系统（单独考试）815,空
10054,华北电力大学,0,北京,电气与电子工程学院,085402,通信工程（含宽带网络、移动通信等）,03,能源互联网信息通信技术,2,单考,0,思想政治理论（单独考试）111,英语（单独考试）241,数学（单独考试）611,信号与系统（单独考试）815,空
10141,大连理工大学,1,辽宁,（主校区）计算机科学与技术学院,085410,人工智能,03,智能工程,2,统考,4,思想政治理论101,英语（一）201,数学（一）301,数据结构810,空
10141,大连理工大学,1,辽宁,（主校区）计算机科学与技术学院,085410,人工智能,03,智能工程,2,单考,1,思想政治理论（单独考试）111,单独考试英语250,单独考试数学710,数据结构810,空
10141,大连理工大学,1,辽宁,（主校区）计算机科学与技术学院,085404,计算机技术,06,数据科学与智能计算,2,统考,0,思想政治理论101,英语（一）201,数学（一）301,数据结构810,空
